InvoiceNo,InvoiceDate,InvoiceTime,StockCode,Product,Quantity,UnitPrice,Totalsale,CustomerID,Country
536370,01/12/10,8:45:00 AM,22728,ALARM CLOCK BAKELIKE PINK,24,3.75,90,12583,France
536370,01/12/10,8:45:00 AM,22727,ALARM CLOCK BAKELIKE RED ,24,3.75,90,12583,France
536370,01/12/10,8:45:00 AM,22726,ALARM CLOCK BAKELIKE GREEN,12,3.75,45,12583,France
536370,01/12/10,8:45:00 AM,21724,PANDA AND BUNNIES STICKER SHEET,12,0.85,10.2,12583,France
536370,01/12/10,8:45:00 AM,21883,STARS GIFT TAPE ,24,0.65,15.6,12583,France
536370,01/12/10,8:45:00 AM,10002,INFLATABLE POLITICAL GLOBE ,48,0.85,40.8,12583,France
536370,01/12/10,8:45:00 AM,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,1.25,30,12583,France
536370,01/12/10,8:45:00 AM,21035,SET/2 RED RETROSPOT TEA TOWELS ,18,2.95,53.1,12583,France
536370,01/12/10,8:45:00 AM,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,2.95,70.8,12583,France
536370,01/12/10,8:45:00 AM,22629,SPACEBOY LUNCH BOX ,24,1.95,46.8,12583,France
536370,01/12/10,8:45:00 AM,22659,LUNCH BOX I LOVE LONDON,24,1.95,46.8,12583,France
536370,01/12/10,8:45:00 AM,22631,CIRCUS PARADE LUNCH BOX ,24,1.95,46.8,12583,France
536370,01/12/10,8:45:00 AM,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,0.85,17,12583,France
536370,01/12/10,8:45:00 AM,21731,RED TOADSTOOL LED NIGHT LIGHT,24,1.65,39.6,12583,France
536370,01/12/10,8:45:00 AM,22900, SET 2 TEA TOWELS I LOVE LONDON ,24,2.95,70.8,12583,France
536370,01/12/10,8:45:00 AM,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,3.75,45,12583,France
536370,01/12/10,8:45:00 AM,22540,MINI JIGSAW CIRCUS PARADE ,24,0.42,10.08,12583,France
536370,01/12/10,8:45:00 AM,22544,MINI JIGSAW SPACEBOY,24,0.42,10.08,12583,France
536370,01/12/10,8:45:00 AM,22492,MINI PAINT SET VINTAGE ,36,0.65,23.4,12583,France
536370,01/12/10,8:45:00 AM,POST,POSTAGE,3,18,54,12583,France
536403,01/12/10,11:27:00 AM,22867,HAND WARMER BIRD DESIGN,96,1.85,177.6,12791,Netherlands
536403,01/12/10,11:27:00 AM,POST,POSTAGE,1,15,15,12791,Netherlands
536527,01/12/10,1:04:00 PM,22809,SET OF 6 T-LIGHTS SANTA,6,2.95,17.7,12662,Germany
536527,01/12/10,1:04:00 PM,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,6,2.55,15.3,12662,Germany
536527,01/12/10,1:04:00 PM,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,0.85,10.2,12662,Germany
536527,01/12/10,1:04:00 PM,22242,5 HOOK HANGER MAGIC TOADSTOOL,12,1.65,19.8,12662,Germany
536527,01/12/10,1:04:00 PM,22244,3 HOOK HANGER MAGIC GARDEN,12,1.95,23.4,12662,Germany
536527,01/12/10,1:04:00 PM,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,12,1.65,19.8,12662,Germany
536527,01/12/10,1:04:00 PM,47421,ASSORTED COLOUR LIZARD SUCTION HOOK,24,0.42,10.08,12662,Germany
536527,01/12/10,1:04:00 PM,20712,JUMBO BAG WOODLAND ANIMALS,10,1.95,19.5,12662,Germany
536527,01/12/10,1:04:00 PM,20713,JUMBO BAG OWLS,10,1.95,19.5,12662,Germany
536527,01/12/10,1:04:00 PM,22837,HOT WATER BOTTLE BABUSHKA ,4,4.65,18.6,12662,Germany
536527,01/12/10,1:04:00 PM,22969,HOMEMADE JAM SCENTED CANDLES,12,1.45,17.4,12662,Germany
